Price,Close,High,Low,Open,Volume
Ticker,USDJPY=X,USDJPY=X,USDJPY=X,USDJPY=X,USDJPY=X
Date,,,,,
2026-03-02,156.63299560546875,157.74400329589844,156.1479949951172,156.60800170898438,0
2026-03-03,157.2570037841797,157.96600341796875,157.1529998779297,157.27200317382812,0
2026-03-04,157.7729949951172,157.84500122070312,156.88299560546875,157.781005859375,0
2026-03-05,156.98300170898438,157.76800537109375,156.4739990234375,156.9709930419922,0
2026-03-06,157.53399658203125,158.07400512695312,157.41200256347656,157.52200317382812,0
2026-03-09,158.427001953125,158.8939971923828,158.0030059814453,158.38400268554688,0
2026-03-10,157.84800720214844,157.95899963378906,157.27699279785156,157.8560028076172,0
2026-03-11,158.11399841308594,158.83900451660156,157.8699951171875,158.0679931640625,0
2026-03-12,159.0749969482422,159.28399658203125,158.572998046875,159.09300231933594,0
2026-03-13,159.20599365234375,159.63099670410156,159.00399780273438,159.2100067138672,0
2026-03-16,159.5679931640625,159.62100219726562,158.85400390625,159.51199340820312,0
2026-03-17,159.10499572753906,159.48699951171875,158.72500610351562,159.13900756835938,0
2026-03-18,158.88900756835938,159.5659942626953,158.56700134277344,158.88999938964844,0
2026-03-19,159.7949981689453,159.8159942626953,158.07400512695312,159.8159942626953,0
2026-03-20,157.9239959716797,159.2570037841797,157.73699951171875,157.9149932861328,0
2026-03-23,159.23399353027344,159.64999389648438,158.22500610351562,159.13999938964844,0
2026-03-24,158.47900390625,158.93699645996094,158.40899658203125,158.49000549316406,0
2026-03-25,158.71800231933594,159.22500610351562,158.57699584960938,158.7100067138672,0
2026-03-26,159.38400268554688,159.68899536132812,159.28700256347656,159.4010009765625,0
2026-03-27,159.70399475097656,160.1580047607422,159.45599365234375,159.71499633789062,0
2026-03-30,160.23399353027344,160.2310028076172,159.3209991455078,160.2310028076172,0
2026-03-31,159.84100341796875,159.95899963378906,158.89199829101562,159.75399780273438,0
2026-04-01,158.57899475097656,158.99000549316406,158.2790069580078,158.5679931640625,0
2026-04-02,158.68800354003906,159.74200439453125,158.6009979248047,158.69900512695312,0
2026-04-03,159.49099731445312,159.69500732421875,159.427001953125,159.45599365234375,0
2026-04-06,159.77999877929688,159.79299926757812,159.31700134277344,159.75,0
2026-04-07,159.68299865722656,160.01499938964844,159.47300720214844,159.70599365234375,0
2026-04-08,158.71600341796875,158.7469940185547,157.89300537109375,158.6479949951172,0
2026-04-09,158.64199829101562,159.27999877929688,158.63400268554688,158.63400268554688,0
2026-04-10,159.11199951171875,159.36399841308594,159.00900268554688,159.08900451660156,0
2026-04-13,159.67999267578125,159.85000610351562,159.51699829101562,159.69700622558594,0
2026-04-14,159.21400451660156,159.32400512695312,158.60299682617188,159.26199340820312,0
2026-04-15,158.79200744628906,159.1529998779297,158.65199279785156,158.76300048828125,0
2026-04-16,158.8090057373047,159.28700256347656,158.2779998779297,158.7830047607422,0
2026-04-17,158.58399963378906,159.5290069580078,157.58700561523438,159.1179962158203,0
